name,type,status,application_service,env,security,netcolor,dcloc,loc,os,ips,itsgroup,its_1,maint_vndr,maintexp,maint_sla,verified,impusers
ENHQWMG89,VM,Active,Web Hosting,DR,CUI,Red,SD-DC2,"Huntsville, AL",Windows Server 2019,10.72.77.51,ITS-Network,C. Davis,HPE Pointnext,2029-03-25 00:00:00,24x7x2,2026-02-19 00:00:00,338
GA-WEBHOS-111A,Storage Array,Active,Web Hosting,QA,CUI,Blue,AWS-GovCloud,"Palmdale, CA",Ubuntu 22.04 LTS,10.40.120.156,ITS-AppSupport,P. Anderson,Cisco SmartNet,2026-04-29 00:00:00,24x7x2,2026-05-26 00:00:00,41
GA-DOMAIN-635,Network Device,Retired,Domain Services,Prod,Unclassified,Green,AWS-GovCloud,"San Diego, CA",Ubuntu 22.04 LTS,10.88.52.154,ITS-Security,J. Martinez,CDW,2027-04-03 00:00:00,Best Effort,2026-05-02 00:00:00,236
GA-DATABA-807B,Network Device,Active,Database Services,Prod,Public,Black,TUP-DC1,Remote/Colo,VMware ESXi 7.0 U3,10.40.136.251,ITS-Infrastructure,E. Robinson,HPE Pointnext,2028-06-08 00:00:00,8x5,2026-05-21 00:00:00,35
GA-EMAILG-268P,VM,Active,Email Gateway,Test,CUI,Blue,TUP-DC1,"Tupelo, MS",Windows Server 2016,"10.56.162.112, 10.56.0.39",ITS-Virtualization,K. Chen,HPE Pointnext,2030-03-21 00:00:00,Best Effort,2026-06-18 00:00:00,265
GA-LICENS-810B,Network Device,Provisioning,License Server,DR,Restricted,Black,PWY-DC1,Remote/Colo,Cisco IOS 17.9,10.48.188.141,ITS-Virtualization,L. Brown,HPE Pointnext,2029-10-13 00:00:00,Best Effort,2026-04-04 00:00:00,296
GA-HRPORT-856D,Server,Retired,HR Portal,Test,Public,Green,SD-DC1,"San Diego, CA",Cisco IOS 17.9,"10.88.222.89, 10.88.157.62",ITS-Network,S. Johnson,Dell ProSupport,2027-06-12 00:00:00,Best Effort,2026-05-03 00:00:00,315
GA-DNSDHC-048B,Server,Active,DNS/DHCP,Prod,Restricted,Green,PMD-DC1,"Tupelo, MS",RHEL 9.5,10.72.191.65,ITS-Infrastructure,T. Nguyen,NetApp SupportEdge,2029-05-02 00:00:00,24x7x4,2026-04-02 00:00:00,345
QXMBO54,VM,Active,ServiceNow MID,Stage,Confidential,Red,TUP-DC1,Remote/Colo,Ubuntu 22.04 LTS,"10.48.117.192, 10.48.179.152",ITS-EndUser,E. Robinson,HPE Pointnext,2026-11-12 00:00:00,24x7x4,2026-06-23 00:00:00,387
UTARWG63,VM,Active,VDI,Stage,CUI,Red,PMD-DC1,"Tupelo, MS",VMware ESXi 7.0 U3,10.88.117.98,ITS-Storage,S. Johnson,Dell ProSupport,2028-03-13 00:00:00,Best Effort,2026-06-04 00:00:00,68
GA-SHAREP-590,Application,Retired,SharePoint,QA,Restricted,Blue,PWY-DC1,"Tupelo, MS",Ubuntu 22.04 LTS,10.56.104.150,ITS-Storage,T. Nguyen,SHI,2027-06-28 00:00:00,NBD,2026-02-16 00:00:00,138
GA-CICD-446A,VM,Active,CI/CD,QA,ITAR,Red,SD-DC2,"San Diego, CA",RHEL 9.4,10.56.225.168,ITS-AppSupport,L. Brown,Dell ProSupport,2025-11-20 00:00:00,Best Effort,2026-05-13 00:00:00,8
JEXOEA87,Appliance,Active,VDI,Stage,Restricted,Yellow,PMD-DC1,"Palmdale, CA",VMware ESXi 8.0 U3,10.16.134.134,ITS-EndUser,A. Garcia,CDW,2028-02-04 00:00:00,24x7x4,2026-02-15 00:00:00,89
GA-MONITO-876A,Application,Active,Monitoring,Dev,CUI,Red,SD-DC2,"San Diego, CA",VMware ESXi 8.0 U3,10.88.55.247,ITS-Virtualization,J. Martinez,CDW,2029-08-27 00:00:00,24x7x4,2026-03-05 00:00:00,391
GA-DOMAIN-275,VM,Provisioning,Domain Services,DR,Unclassified,Yellow,PMD-DC1,"Tupelo, MS",Ubuntu 24.04 LTS,"10.96.139.54, 10.96.203.12",ITS-Infrastructure,M. Williams,NetApp SupportEdge,2029-02-10 00:00:00,24x7x2,2026-02-28 00:00:00,354
GA-PRINTS-459D,VM,Active,Print Services,Dev,Confidential,Yellow,HSV-DC1,"Palmdale, CA",RHEL 8.10,10.40.48.249,ITS-EndUser,N. Clark,Cisco SmartNet,2029-08-10 00:00:00,Best Effort,2026-03-25 00:00:00,297
GA-DOMAIN-981B,VM,Decommissioned,Domain Services,Test,Restricted,Blue,PWY-DC1,Remote/Colo,RHEL 9.5,10.40.103.75,ITS-Storage,T. Nguyen,Insight,2027-08-16 00:00:00,24x7x2,2026-04-12 00:00:00,8
GA-PRINTS-512,Network Device,Decommissioned,Print Services,Dev,Confidential,Red,PWY-DC1,Remote/Colo,Windows Server 2019,"10.40.240.209, 10.40.219.183",ITS-Network,R. Patel,CDW,2029-12-14 00:00:00,24x7x4,2026-05-01 00:00:00,359
GA-PAYROL-070D,VM,Active,Payroll,Prod,ITAR,Black,SD-DC2,"Huntsville, AL",Windows Server 2025,10.48.59.158,ITS-AppSupport,E. Robinson,Insight,2026-12-09 00:00:00,NBD,2026-05-04 00:00:00,250
UWPXJOBJ28,Storage Array,Active,Print Services,Prod,Unclassified,Yellow,SD-DC2,"Poway, CA",VMware ESXi 8.0 U3,10.72.52.173,ITS-Network,S. Johnson,CDW,2026-10-21 00:00:00,24x7x4,2026-06-23 00:00:00,225
GA-DOMAIN-506B,Network Device,Provisioning,Domain Services,Test,ITAR,Green,SD-DC2,"Poway, CA",RHEL 8.10,10.32.172.121,ITS-EndUser,L. Brown,Cisco SmartNet,2027-12-10 00:00:00,NBD,2026-05-31 00:00:00,352
GA-PRINTS-824D,Server,Retired,Print Services,Test,Confidential,Black,AWS-GovCloud,Remote/Colo,Ubuntu 24.04 LTS,"10.48.22.144, 10.48.46.211",ITS-AppSupport,L. Brown,Cisco SmartNet,2029-08-29 00:00:00,24x7x2,2026-03-05 00:00:00,167
GA-EMAILG-776P,Server,Active,Email Gateway,DR,Unclassified,Green,SD-DC1,"Huntsville, AL",RHEL 9.4,10.64.232.162,ITS-Virtualization,T. Nguyen,Dell ProSupport,2030-02-09 00:00:00,Best Effort,2026-04-18 00:00:00,154
GA-SHAREP-186D,VM,Active,SharePoint,Stage,CUI,Red,HSV-DC1,"Tupelo, MS",Windows Server 2022,"10.96.95.239, 10.96.227.93",ITS-Virtualization,M. Williams,NetApp SupportEdge,2029-05-21 00:00:00,8x5,2026-07-19 00:00:00,296
NHMLGHHC99,VM,Active,Email Gateway,QA,CUI,Red,AWS-GovCloud,"Huntsville, AL",Windows Server 2022,"10.16.118.20, 10.16.232.110",ITS-Network,C. Davis,Cisco SmartNet,2026-07-08 00:00:00,NBD,2026-07-13 00:00:00,123
GA-CADPLM-321D,Server,Active,CAD/PLM,DR,CUI,Green,PWY-DC1,"Huntsville, AL",VMware ESXi 8.0 U3,10.24.224.135,ITS-Storage,N. Clark,NetApp SupportEdge,2026-06-05 00:00:00,24x7x4,2026-02-16 00:00:00,9
GA-SHAREP-183,Server,Active,SharePoint,Stage,Public,Blue,AWS-GovCloud,"Tupelo, MS",VMware ESXi 7.0 U3,10.88.8.224,ITS-Storage,B. Thomas,NetApp SupportEdge,2029-04-02 00:00:00,NBD,2026-04-15 00:00:00,68
GA-VDI-049,Server,Active,VDI,DR,Restricted,Blue,TUP-DC1,"Palmdale, CA",VMware ESXi 8.0 U3,10.80.58.16,ITS-EndUser,A. Garcia,HPE Pointnext,2026-11-20 00:00:00,24x7x2,2026-04-07 00:00:00,232
GA-VDI-792A,Server,Retired,VDI,Dev,ITAR,Black,SD-DC2,Remote/Colo,Ubuntu 24.04 LTS,10.48.91.153,ITS-Virtualization,A. Garcia,CDW,2029-10-03 00:00:00,24x7x2,2026-04-02 00:00:00,216
KSBT70,VM,Active,HR Portal,DR,Public,Blue,AWS-GovCloud,"Poway, CA",Windows Server 2019,10.40.124.31,ITS-Network,H. Lewis,NetApp SupportEdge,2028-03-21 00:00:00,24x7x4,2026-03-24 00:00:00,387
GA-SHAREP-555P,Appliance,Provisioning,SharePoint,Dev,Restricted,Red,AWS-GovCloud,Remote/Colo,Windows Server 2022,10.16.51.33,ITS-Network,R. Patel,Dell ProSupport,2027-02-25 00:00:00,NBD,2026-06-13 00:00:00,177
GA-CADPLM-270,Appliance,Active,CAD/PLM,Dev,Confidential,Black,TUP-DC1,"Tupelo, MS",Windows Server 2019,10.40.45.47,ITS-Storage,S. Johnson,CDW,2026-06-25 00:00:00,NBD,2026-07-13 00:00:00,180
OFQGOAGK77,Application,Retired,Payroll,Dev,Restricted,Blue,SD-DC2,Remote/Colo,Ubuntu 22.04 LTS,"10.96.11.160, 10.96.24.166",ITS-Storage,L. Brown,HPE Pointnext,2027-10-07 00:00:00,Best Effort,2026-05-11 00:00:00,221
GA-DATABA-135,VM,Active,Database Services,Stage,Public,Green,AWS-GovCloud,Remote/Colo,RHEL 8.10,10.56.174.252,ITS-Security,J. Martinez,Cisco SmartNet,2027-05-15 00:00:00,24x7x2,2026-07-29 00:00:00,253
